46166,675574.15,3132729.263172061,16248.91,14189.9
46167,92332.95,293229.84700378746,2000.0,1643.27
46168,134269.05,457847.69036249147,3348.0,3152.34
46205,569989.95,1361189.2470345928,161.0,152.23
46169,613702.95,1722360.2480630088,10297.96,9000.5
46170,1446614.95,10526453.854305407,58946.63,48023.74
46214,3359653.95,21753219.769630592,88988.73,85010.04
46171,561594.05,1735989.5156826514,10499.94,7005.04
46206,467037.05,1489772.1820847918,159.84,144.07
46172,1144646.05,11413618.60009195,54099.93,48112.56
46213,1987027.05,18745945.866221778,48544.44,47515.42
46173,3156543.15,14037297.975016396,83299.92,56002.12
46209,2813461.05,2475104.8304869984,1065.12,1000.37
46174,920305.05,3737043.8491073903,20499.93,18000.91
46175,837567.05,10150247.94159131,53798.99,46000.82
46212,1548993.1500000001,11830687.122516742,13850.01,13843.02
46211,3522191.05,8138884.237725343,6044.44,5950.0
46176,3465566.95,11057681.13489683,56993.84,46050.01
46218,877391.05,6863473.573625233,27344.43,25000.0
46210,921039.15,6329814.144811263,2379.99,2300.0
46217,1328835.15,5307784.715046902,19999.99,18603.04
46215,952777.05,6854342.313734109,24944.44,23606.09
46177,2873630.05,4073143.2774786637,21452.25,18033.83
46186,1019471.95,10475978.518268332,54770.05,47000.0
46184,847342.15,10263202.692810051,57986.77,44076.0
46178,606772.05,2933592.1590582277,16049.98,12237.51
46179,142528.15,459109.9672258816,3988.9,3106.49
46180,743983.15,3516380.691719124,16299.91,15300.01
46181,86482.05,297108.14223776676,1907.92,1865.0
46208,570066.95,2489802.632084792,534.59,513.0
46216,1583326.95,7186998.409464141,27241.74,25000.04
46185,412110.05,7235951.063686058,41717.61,30330.83
46204,582751.15,1855115.8268633902,180.0,180.0
46182,763972.15,2679527.5325909127,13500.0,13007.01
46207,575756.05,1899270.9830893748,227.81,203.12
46183,564460.05,3933348.900127626,41998.07,17052.07
46164,8337341.45,9321920.000820072,75999.35,70001.0
46165,5836668.35,6899352.189485597,73998.96,69000.01
46160,163251.05000000002,713843.3656702974,11391.38,9212.59
46158,1078272.15,1677876.7484785735,2498.88,2350.0
46163,2218480.05,3235197.3212169246,33160.0,29300.0
46161,234671.15000000002,850374.6423287614,13419.88,10750.01
46157,450730.05,1624859.7528207984,16477.89,12800.0
46159,1544912.05,2312981.779058857,12475.62,11100.0
46162,924526.9500000001,2247283.402846055,18894.98,18001.0
